artist,song,duration,ts,sessionid,auth,level,itemInSession,city,zip,state,userAgent,lon,lat,userId,lastName,firstName,gender,registration,year,month,hour,day
Paul Glazby,Beautiful,541.5179,2026-02-11T19:33:42.000+07:00,,Logged In,free,0,Young America,,MN,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-93.937971,44.823812,55,Estrada,Daniel,M,1718486618000,2026,2,19,11
Willie Bobo,It's Not Unusual,139.49342,2026-06-30T19:34:16.000+07:00,,Logged In,paid,4,West Palm Beach,,FL,"""Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",-80.058452,26.669649,82,Cannon,Ivan,M,1748558316000,2026,6,19,30
Fred Locks,Don't Wait For Me,243.43465,2026-06-30T19:36:35.000+07:00,,Logged In,paid,5,West Palm Beach,,FL,"""Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",-80.058452,26.669649,82,Cannon,Ivan,M,1748558316000,2026,6,19,30
Brian Tyler,I Dream Of Chi Chi,52.87138,2026-06-30T19:40:38.000+07:00,,Logged In,paid,6,West Palm Beach,,FL,"""Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",-80.058452,26.669649,82,Cannon,Ivan,M,1748558316000,2026,6,19,30
3 Way Funk,Real Playaz,210.25914,2026-06-30T19:41:30.000+07:00,,Logged In,paid,7,West Palm Beach,,FL,"""Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",-80.058452,26.669649,82,Cannon,Ivan,M,1748558316000,2026,6,19,30
Arthur Tracy,Where Are You?,188.86485,2026-02-11T19:42:43.000+07:00,,Logged In,free,1,Young America,,MN,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-93.937971,44.823812,55,Estrada,Daniel,M,1718486618000,2026,2,19,11
Kris Gruen,Prayer Walk,185.28609,2026-06-30T19:45:00.000+07:00,,Logged In,paid,8,West Palm Beach,,FL,"""Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",-80.058452,26.669649,82,Cannon,Ivan,M,1748558316000,2026,6,19,30
1. Futurologischer Congress,Tokyo,135.41832,2026-02-11T19:45:51.000+07:00,,Logged In,free,2,Young America,,MN,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-93.937971,44.823812,55,Estrada,Daniel,M,1718486618000,2026,2,19,11
Kane,Rain Down On Me,395.833,2026-06-30T19:48:05.000+07:00,,Logged In,paid,9,West Palm Beach,,FL,"""Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",-80.058452,26.669649,82,Cannon,Ivan,M,1748558316000,2026,6,19,30
Buju Banton,Destiny,239.0722,2026-02-11T19:48:06.000+07:00,,Logged In,free,3,Young America,,MN,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-93.937971,44.823812,55,Estrada,Daniel,M,1718486618000,2026,2,19,11
John Mayall & The Bluesbreakers,All Your Love,214.69995,2026-02-11T19:52:05.000+07:00,,Logged In,free,4,Young America,,MN,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-93.937971,44.823812,55,Estrada,Daniel,M,1718486618000,2026,2,19,11
Charles Williams,Close Up,64.05179,2026-06-30T19:54:40.000+07:00,,Logged In,paid,10,West Palm Beach,,FL,"""Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",-80.058452,26.669649,82,Cannon,Ivan,M,1748558316000,2026,6,19,30
The Hokum Boys,Ain't Goin' To Beg You For That Stuff,209.7367,2026-02-11T19:55:39.000+07:00,,Logged In,free,5,Young America,,MN,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-93.937971,44.823812,55,Estrada,Daniel,M,1718486618000,2026,2,19,11
Michael Bloomfield,Let the People Dance,180.45341,2026-06-30T19:55:44.000+07:00,,Logged In,paid,11,West Palm Beach,,FL,"""Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",-80.058452,26.669649,82,Cannon,Ivan,M,1748558316000,2026,6,19,30
Los AutÃ©nticos Decadentes,Que Vas A Hacer Conmigo,205.37424,2026-06-30T19:58:44.000+07:00,,Logged In,paid,12,West Palm Beach,,FL,"""Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",-80.058452,26.669649,82,Cannon,Ivan,M,1748558316000,2026,6,19,30
Dilated Peoples Featuring Devin The Dude,Poisonous (Edited) (Feat. Devin The Dude),221.2828,2026-02-11T19:59:08.000+07:00,,Logged In,free,6,Young America,,MN,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-93.937971,44.823812,55,Estrada,Daniel,M,1718486618000,2026,2,19,11
Cheo Feliciano,Juguete,269.26974,2026-06-30T20:02:09.000+07:00,,Logged In,paid,13,West Palm Beach,,FL,"""Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",-80.058452,26.669649,82,Cannon,Ivan,M,1748558316000,2026,6,20,30
The Who,Anyway_ Anyhow_ Anywhere,169.66486,2026-06-30T20:06:38.000+07:00,,Logged In,paid,14,West Palm Beach,,FL,"""Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",-80.058452,26.669649,82,Cannon,Ivan,M,1748558316000,2026,6,20,30
Andreas Dorau,So Ist Das Nun Mal,312.9465,2026-06-30T20:09:27.000+07:00,,Logged In,paid,15,West Palm Beach,,FL,"""Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",-80.058452,26.669649,82,Cannon,Ivan,M,1748558316000,2026,6,20,30
Tha Liks,Yo Mouth (Skit),33.09669,2026-06-30T20:14:39.000+07:00,,Logged In,paid,16,West Palm Beach,,FL,"""Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",-80.058452,26.669649,82,Cannon,Ivan,M,1748558316000,2026,6,20,30
KÃ©kÃ©lÃ©,Likambo,219.8722,2026-06-30T20:15:12.000+07:00,,Logged In,paid,17,West Palm Beach,,FL,"""Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",-80.058452,26.669649,82,Cannon,Ivan,M,1748558316000,2026,6,20,30
Kyle Riabko,Doesn't Get Much Better,211.53914,2026-06-30T20:18:51.000+07:00,,Logged In,paid,18,West Palm Beach,,FL,"""Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",-80.058452,26.669649,82,Cannon,Ivan,M,1748558316000,2026,6,20,30
Christie Hennessy,The All-Ireland,180.76689,2026-06-30T20:22:22.000+07:00,,Logged In,paid,19,West Palm Beach,,FL,"""Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",-80.058452,26.669649,82,Cannon,Ivan,M,1748558316000,2026,6,20,30
Eddie Calvert,Erica (2005 Digital Remaster),138.63138,2026-06-30T20:25:22.000+07:00,,Logged In,paid,20,West Palm Beach,,FL,"""Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",-80.058452,26.669649,82,Cannon,Ivan,M,1748558316000,2026,6,20,30
Renee Rosnes,Children's Song No. 3,320.522,2026-06-30T20:27:40.000+07:00,,Logged In,paid,21,West Palm Beach,,FL,"""Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",-80.058452,26.669649,82,Cannon,Ivan,M,1748558316000,2026,6,20,30
FlÃ¡vio JosÃ©,Jogo Limpo,252.02893,2026-06-30T20:33:00.000+07:00,,Logged In,paid,22,West Palm Beach,,FL,"""Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",-80.058452,26.669649,82,Cannon,Ivan,M,1748558316000,2026,6,20,30
Cindy Morgan,I Will Be Free (LP Version),295.10486,2026-06-30T20:37:12.000+07:00,,Logged In,paid,23,West Palm Beach,,FL,"""Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",-80.058452,26.669649,82,Cannon,Ivan,M,1748558316000,2026,6,20,30
John Brown,Sarah Palin {I Wanna Lay Pipe},221.43954,2026-06-30T20:42:07.000+07:00,,Logged In,paid,24,West Palm Beach,,FL,"""Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",-80.058452,26.669649,82,Cannon,Ivan,M,1748558316000,2026,6,20,30
The Killers,Show You How,166.29506,2026-06-30T20:45:48.000+07:00,,Logged In,paid,25,West Palm Beach,,FL,"""Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",-80.058452,26.669649,82,Cannon,Ivan,M,1748558316000,2026,6,20,30
Harvey Averne,Why Can't We Really Be Free,185.2077,2026-06-30T20:48:34.000+07:00,,Logged In,paid,26,West Palm Beach,,FL,"""Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",-80.058452,26.669649,82,Cannon,Ivan,M,1748558316000,2026,6,20,30
Francis Lai,Concerto No.3 In D: Allegro,155.16689,2026-06-30T20:51:39.000+07:00,,Logged In,paid,27,West Palm Beach,,FL,"""Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",-80.058452,26.669649,82,Cannon,Ivan,M,1748558316000,2026,6,20,30
Marc Perrone,SirÃ¨ne,13.5571,2026-06-30T20:54:14.000+07:00,,Logged In,paid,28,West Palm Beach,,FL,"""Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",-80.058452,26.669649,82,Cannon,Ivan,M,1748558316000,2026,6,20,30
Amorphis,Crimson Wave,285.46567,2026-06-30T20:54:27.000+07:00,,Logged In,paid,29,West Palm Beach,,FL,"""Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",-80.058452,26.669649,82,Cannon,Ivan,M,1748558316000,2026,6,20,30
Sam Baker,Just A Glance Away,167.10484,2026-06-30T20:59:12.000+07:00,,Logged In,paid,30,West Palm Beach,,FL,"""Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",-80.058452,26.669649,82,Cannon,Ivan,M,1748558316000,2026,6,20,30
SKOLD vs. KMFDM,All Or Nothing,303.22894,2026-06-30T21:01:59.000+07:00,,Logged In,paid,31,West Palm Beach,,FL,"""Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",-80.058452,26.669649,82,Cannon,Ivan,M,1748558316000,2026,6,21,30
FU-Schnickens,Heavenly Father,276.94974,2026-06-30T21:07:02.000+07:00,,Logged In,paid,32,West Palm Beach,,FL,"""Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",-80.058452,26.669649,82,Cannon,Ivan,M,1748558316000,2026,6,21,30
James Newton Howard,U North,108.35546,2026-06-30T21:11:38.000+07:00,,Logged In,paid,33,West Palm Beach,,FL,"""Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",-80.058452,26.669649,82,Cannon,Ivan,M,1748558316000,2026,6,21,30
Johnny Osbourne,Turn Me On,271.5424,2026-06-30T21:13:26.000+07:00,,Logged In,paid,34,West Palm Beach,,FL,"""Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",-80.058452,26.669649,82,Cannon,Ivan,M,1748558316000,2026,6,21,30
Vex'd,Oceans,295.4967,2026-02-22T21:17:22.000+07:00,,Logged In,free,0,Opelousas,,LA,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-92.104961,30.533657,25,Nguyen,Ksenia,F,1727558730000,2026,2,21,22
Neema,Goodfellas,227.02975,2026-02-22T21:22:17.000+07:00,,Logged In,free,1,Opelousas,,LA,"""Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-92.104961,30.533657,25,Nguyen,Ksenia,F,1727558730000,2026,2,21,22
Quadro Nuevo,La Muneca de Alcazar,232.9073,2026-04-18T21:32:42.000+07:00,,Logged In,paid,1,Denville,,NJ,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-74.490462,40.887246,44,Mathews,Coen,M,1618721245000,2026,4,21,18
Ionics,Roll Back The Rug,140.38159,2026-04-18T21:36:34.000+07:00,,Logged In,paid,2,Denville,,NJ,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-74.490462,40.887246,44,Mathews,Coen,M,1618721245000,2026,4,21,18
Sonny Terry & Brownie McGhee,Try Me One More Time,182.69995,2026-04-18T21:38:54.000+07:00,,Logged In,paid,3,Denville,,NJ,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-74.490462,40.887246,44,Mathews,Coen,M,1618721245000,2026,4,21,18
2raumwohnung,36 Grad (Paul van Dyk's Vandit Clubmix),449.38403,2026-04-18T21:41:56.000+07:00,,Logged In,paid,4,Denville,,NJ,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-74.490462,40.887246,44,Mathews,Coen,M,1618721245000,2026,4,21,18
The Fureys,The Anniversary Waltz,240.74403,2026-04-18T21:49:25.000+07:00,,Logged In,paid,5,Denville,,NJ,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-74.490462,40.887246,44,Mathews,Coen,M,1618721245000,2026,4,21,18
The Black Crowes,Sting Me,348.891,2026-06-26T21:51:33.000+07:00,,Logged In,free,0,Salters,,SC,"""Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-79.848696,33.56892,64,Davis,Benjamin,M,1624682845000,2026,6,21,26
Papa Wemba,DixiÃ¨me Commandement,379.08853,2026-04-18T21:53:25.000+07:00,,Logged In,paid,6,Denville,,NJ,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-74.490462,40.887246,44,Mathews,Coen,M,1618721245000,2026,4,21,18
Nu Flavor,Sprung (Cibola Mix W/ Rap),242.38976,2026-05-07T21:54:38.000+07:00,,Logged In,paid,0,Teaneck,,NJ,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-74.011478,40.890317,71,Hill,Christopher,M,1620362845000,2026,5,21,7
Workhorse,Serus,349.6224,2026-06-26T21:57:21.000+07:00,,Logged In,free,1,Salters,,SC,"""Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-79.848696,33.56892,64,Davis,Benjamin,M,1624682845000,2026,6,21,26
Rainbow,Can't Happen Here,299.57178,2026-05-07T21:58:40.000+07:00,,Logged In,paid,1,Teaneck,,NJ,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-74.011478,40.890317,71,Hill,Christopher,M,1620362845000,2026,5,21,7
Radio Moscow,Broke Down,255.89507,2026-04-18T21:59:44.000+07:00,,Logged In,paid,7,Denville,,NJ,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-74.490462,40.887246,44,Mathews,Coen,M,1618721245000,2026,4,21,18
Roy Brown,Love Don't Love Nobody,163.83955,2026-04-30T22:00:33.000+07:00,,Logged In,paid,2,Himrod,,NY,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0),-76.981134,42.600505,56,Williams,Celeste,F,1753186051000,2026,4,22,30
Original Love,Let's Go To The Darkside Of The Moon (Piano Version),164.91057,2026-06-26T22:03:10.000+07:00,,Logged In,free,2,Salters,,SC,"""Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-79.848696,33.56892,64,Davis,Benjamin,M,1624682845000,2026,6,22,26
Crematorium,Unlearn,210.1024,2026-04-30T22:03:16.000+07:00,,Logged In,paid,3,Himrod,,NY,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0),-76.981134,42.600505,56,Williams,Celeste,F,1753186051000,2026,4,22,30
Albert King,Please Come Back To Me - Live,668.62976,2026-05-07T22:03:39.000+07:00,,Logged In,paid,6,Teaneck,,NJ,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-74.011478,40.890317,71,Hill,Christopher,M,1620362845000,2026,5,22,7
Azukx,124 Stomp,438.90894,2026-04-18T22:03:59.000+07:00,,Logged In,paid,8,Denville,,NJ,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-74.490462,40.887246,44,Mathews,Coen,M,1618721245000,2026,4,22,18
Goatwhore,Liar of Nastrond,153.49506,2026-06-26T22:05:54.000+07:00,,Logged In,free,3,Salters,,SC,"""Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-79.848696,33.56892,64,Davis,Benjamin,M,1624682845000,2026,6,22,26
Gary Go,Open Arms,217.86076,2026-04-30T22:06:46.000+07:00,,Logged In,paid,4,Himrod,,NY,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0),-76.981134,42.600505,56,Williams,Celeste,F,1753186051000,2026,4,22,30
A Perfect Murder,Within (Album Version),202.23955,2026-06-26T22:08:27.000+07:00,,Logged In,free,4,Salters,,SC,"""Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-79.848696,33.56892,64,Davis,Benjamin,M,1624682845000,2026,6,22,26
Hacken Lee,Hun Qian De Nu Ren,481.54077,2026-04-30T22:10:23.000+07:00,,Logged In,paid,5,Himrod,,NY,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0),-76.981134,42.600505,56,Williams,Celeste,F,1753186051000,2026,4,22,30
Kelly Clarkson,Cry,214.5171,2026-04-18T22:11:17.000+07:00,,Logged In,paid,9,Denville,,NJ,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-74.490462,40.887246,44,Mathews,Coen,M,1618721245000,2026,4,22,18
Bert Kaempfert,Don't Go,184.31955,2026-05-07T22:14:47.000+07:00,,Logged In,paid,7,Teaneck,,NJ,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-74.011478,40.890317,71,Hill,Christopher,M,1620362845000,2026,5,22,7
Flame,Don't Stop,190.37994,2026-04-18T22:14:51.000+07:00,,Logged In,paid,10,Denville,,NJ,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-74.490462,40.887246,44,Mathews,Coen,M,1618721245000,2026,4,22,18
The Jackson Southernaires,Lord We Give You All The Praise,356.10077,2026-07-15T22:15:22.000+07:00,,Logged In,paid,0,Fort Worth,,TX,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",-97.523856,32.787009,93,Thomas,Layton,M,1626324445000,2026,7,22,15
